"Category","average_sales_amount","total_transactions"
"Set","834.101944261369","42484"
"Saree","802.0559440559441","143"
"Western Dress","763.8219427185937","13198"
"Ethnic Dress","722.7037773359841","1006"
"Top","525.1683221766357","9262"
"Blouse","518.9800498753117","802"
"kurta","456.75058645120015","42203"
"Bottom","358.64627659574467","376"
"Dupatta","305.0","3"
